00001,P000000919,60
00002,P000001051,12
00003,P000001474,3
00004,P000001656,6
00005,P000000684,36
00006,P000001049,60
00007,P000001549,12
00008,P000000807,3
00009,P000001337,12
00010,P000000490,300
00011,P000000178,120
00012,P000001443,6
00013,P000000695,60
00014,P000000721,36
00015,P000000232,300
00016,P000001605,60
00017,P000000454,36
00018,P000000382,12
00019,P000000823,60
00020,P000001352,36
00021,P000001849,6
00022,P000001819,120
00023,P000000950,3
00024,P000001372,6
00025,P000000655,12
00026,P000001659,120
00027,P000000899,3
00028,P000001730,12
00029,P000000641,60
00030,P000000877,6
00031,P000000042,60
00032,P000000424,300
00033,P000000250,60
00034,P000000238,12
00035,P000000466,6
00036,P000000265,36
00037,P000000579,12
00038,P000001733,300
00039,P000001195,12
00040,P000001610,60
00041,P000001431,36
00042,P000001458,120
00043,P000000045,60
00044,P000000969,36
00045,P000001392,300
00046,P000001630,6
00047,P000001838,60
00048,P000001045,120
00049,P000000189,3
00050,P000001351,3
00051,P000000302,12
00052,P000001412,120
00053,P000000406,300
00054,P000001678,36
00055,P000000869,3
00056,P000001046,60
00057,P000001404,300
00058,P000001716,12
00059,P000001754,120
00060,P000000356,6
00061,P000000913,6
00062,P000000584,3
00063,P000000129,120
00064,P000001069,36
00065,P000001383,12
00066,P000001468,36
00067,P000001709,6
00068,P000001705,300
00069,P000001507,120
00070,P000001152,60
00071,P000001143,60
00072,P000001025,12
00073,P000000883,300
00074,P000001834,6
00075,P000000038,3
00076,P000000680,12
00077,P000001010,36
00078,P000000833,120
00079,P000001342,3
00080,P000000317,60
00081,P000000274,6
00082,P000001371,60
00083,P000000462,12
00084,P000000091,36
00085,P000001783,300
00086,P000001517,12
00087,P000000006,60
00088,P000000650,120
00089,P000000309,36
00090,P000001190,6
00091,P000000365,3
00092,P000000719,300
00093,P000000559,120
00094,P000001761,6
00095,P000001632,36
00096,P000001317,3
00097,P000000951,60
00098,P000001826,12
00099,P000001832,6
00100,P000000758,36
