25,2011-01-21 17:57:54,1,Damaged product
53,2011-02-07 10:30:33,3,Damaged from transportation
272,2011-07-06 19:04:00,1,Unsatisfied
371,2011-09-05 20:32:30,1,Damaged product
369,2011-09-07 17:20:11,2,
412,2011-10-11 12:08:53,1,Unsatisfied
422,2011-10-22 20:37:39,1,Damaged from transportation
612,2012-02-20 14:11:18,1,Damaged product
658,2012-03-18 19:04:03,2,Unsatisfied
703,2012-04-15 18:18:34,2,Damaged product
753,2012-05-20 15:53:54,1,Damaged from transportation
754,2012-05-20 19:16:02,1,Damaged from transportation
756,2012-05-21 18:39:54,1,Unsatisfied
1023,2012-10-02 15:01:28,1,Damaged product
1040,2012-10-07 17:07:41,3,Unsatisfied
1055,2012-10-17 18:55:33,3,Damaged from transportation
1170,2012-12-31 16:14:40,1,Damaged product
1231,2013-02-10 20:40:57,1,Unsatisfied
1565,2013-09-06 20:25:38,2,Unsatisfied
1825,2014-01-16 18:42:47,1,Damaged product
2015,2014-05-20 16:07:53,2,Damaged product
2038,2014-06-06 20:30:03,1,Damaged from transportation
2091,2014-07-10 16:33:25,1,Damaged from transportation
2112,2014-07-20 19:22:29,1,Unsatisfied
2127,2014-07-27 19:57:41,1,
2185,2014-08-30 15:55:22,2,Damaged product
2436,2015-01-28 15:35:30,2,Damaged from transportation
2433,2015-02-01 18:37:28,1,Damaged product
2543,2015-04-01 12:57:17,1,Unsatisfied
2570,2015-04-17 18:16:32,1,Unsatisfied
2643,2015-06-02 18:31:34,1,Damaged product
2649,2015-06-13 17:00:26,1,Damaged from transportation
2683,2015-07-06 14:43:06,1,Damaged product
2761,2015-08-12 13:15:13,2,Damaged product
2937,2015-11-14 16:37:26,1,Unsatisfied
2998,2016-01-01 20:08:01,1,Unsatisfied
3110,2016-03-10 17:52:29,3,Damaged from transportation
3124,2016-03-24 11:23:29,1,Damaged product
3187,2016-04-29 13:42:31,1,
3254,2016-06-17 14:35:36,2,Damaged from transportation
3293,2016-07-08 16:21:40,1,Unsatisfied
3299,2016-07-14 15:00:21,2,Damaged product
3338,2016-07-31 17:03:47,1,
3483,2016-10-27 20:19:02,2,
3479,2016-10-30 18:37:16,1,Damaged product
3506,2016-11-11 16:57:21,2,Unsatisfied
3535,2016-11-21 15:46:04,2,Damaged from transportation
3599,2016-12-29 15:48:08,1,Damaged product
3688,2017-02-24 12:37:33,1,Damaged product
3774,2017-04-10 15:48:57,3,Unsatisfied
3923,2017-06-30 19:36:18,1,Damaged from transportation
3983,2017-08-12 12:54:03,1,Damaged product
4041,2017-09-02 20:36:57,1,Unsatisfied
4043,2017-09-07 12:09:19,1,
4070,2017-09-27 17:40:18,1,Damaged product
4178,2017-11-07 14:13:02,1,Damaged from transportation
4217,2017-12-14 20:03:13,1,Damaged from transportation
4392,2018-03-28 19:40:59,2,Unsatisfied
4397,2018-04-05 12:49:38,1,
4479,2018-05-14 19:26:04,1,Damaged product
4553,2018-06-21 11:58:54,1,Unsatisfied
4667,2018-08-22 17:03:01,1,Damaged from transportation
4758,2018-10-16 14:09:56,1,Damaged product
4788,2018-10-28 14:00:16,1,Unsatisfied
4917,2019-01-24 11:22:00,2,Unsatisfied
5034,2019-04-09 20:57:20,1,Damaged product
5097,2019-05-22 13:59:26,2,Damaged product
5100,2019-05-25 20:53:54,1,Damaged from transportation
5228,2019-07-29 17:14:04,1,Damaged from transportation
5297,2019-09-11 14:37:47,4,Unsatisfied
5603,2020-02-13 16:11:35,1,Damaged product
5630,2020-02-27 12:39:06,2,
5667,2020-03-23 12:10:27,1,Damaged from transportation
5686,2020-04-09 13:30:47,2,Damaged product
5914,2020-08-06 20:08:09,1,Unsatisfied
5966,2020-08-29 15:32:42,1,Unsatisfied
5991,2020-09-16 17:15:11,1,Damaged product
6034,2020-10-09 14:32:44,1,Damaged from transportation
6104,2020-11-07 19:19:28,6,Damaged product
6173,2020-12-24 16:10:38,1,Damaged product
6204,2021-01-11 20:45:38,1,Unsatisfied
6230,2021-01-25 16:52:37,1,Unsatisfied
6330,2021-04-08 17:52:41,2,Damaged from transportation
6332,2021-04-11 16:22:29,2,Damaged product
6546,2021-08-30 16:00:49,2,Damaged from transportation
6757,2022-01-08 16:04:52,2,Unsatisfied
6774,2022-01-18 19:38:22,1,Damaged product
6781,2022-01-21 15:35:52,4,Damaged product
6830,2022-02-20 13:07:33,1,Unsatisfied
6829,2022-02-25 19:11:45,1,
6876,2022-03-24 19:30:55,1,Damaged from transportation
7106,2022-08-14 15:34:29,3,Damaged product
7146,2022-09-04 18:27:19,1,Damaged product
7136,2022-09-05 18:33:31,4,
7149,2022-09-09 18:58:48,1,Unsatisfied
7452,2023-03-03 20:09:38,1,Damaged from transportation
7462,2023-03-08 15:50:49,1,
7715,2023-07-15 19:34:40,2,Damaged from transportation
7900,2023-10-19 20:29:56,1,Unsatisfied
7949,2023-11-27 17:08:26,1,
