1,000000000000000077,P000001351,2011-04-02 19:17:12
2,000000000000000175,P000000951,2012-11-05 10:15:53
3,000000000000000219,P000001069,2012-12-18 13:56:58
4,000000000000000321,P000000006,2011-12-26 18:38:48
5,000000000000000325,P000000309,2013-03-01 10:20:55
6,000000000000000334,P000000317,2015-11-28 16:33:19
7,000000000000000501,P000000823,2015-02-15 13:18:40
8,000000000000000610,P000000356,2013-01-23 17:29:28
9,000000000000000861,P000001143,2015-05-24 19:26:57
10,000000000000000868,P000001826,2013-12-27 18:19:40
11,000000000000000912,P000001659,2018-02-16 16:07:37
12,000000000000001018,P000001610,2015-06-13 17:06:48
13,000000000000001018,P000001610,2018-02-19 11:28:24
14,000000000000001025,P000000490,2024-03-12 19:46:54
15,000000000000001043,P000000584,2013-12-05 16:39:48
16,000000000000001118,P000001352,2014-03-04 20:23:10
17,000000000000001160,P000001730,2014-05-17 15:54:39
18,000000000000001175,P000000650,2016-06-18 12:27:12
19,000000000000001281,P000001046,2014-10-04 15:34:39
20,000000000000001304,P000000950,2014-08-17 16:41:22
21,000000000000001311,P000000579,2015-05-30 18:46:47
22,000000000000001370,P000001632,2016-08-19 10:43:13
23,000000000000001379,P000000883,2023-08-30 16:13:37
24,000000000000001495,P000000365,2015-01-16 12:40:31
25,000000000000001663,P000001517,2015-09-07 20:41:47
26,000000000000001677,P000001507,2016-11-21 14:13:24
27,000000000000001677,P000001507,2025-03-17 16:39:08
28,000000000000001683,P000000006,2016-09-30 14:10:42
29,000000000000001831,P000001630,2016-02-05 10:04:40
30,000000000000001849,P000000823,2016-11-02 12:17:05
31,000000000000001849,P000000823,2020-01-02 18:05:51
32,000000000000001876,P000000424,2039-07-22 19:57:53
33,000000000000002075,P000001474,2016-07-10 19:32:01
34,000000000000002135,P000000684,2017-08-30 18:03:03
35,000000000000002190,P000001630,2016-10-20 11:28:21
36,000000000000002201,P000000641,2017-12-05 14:03:36
37,000000000000002260,P000000129,2025-01-15 19:47:13
38,000000000000002328,P000000424,2023-08-06 19:14:34
39,000000000000002375,P000001783,2041-11-01 20:49:11
40,000000000000002386,P000000356,2017-09-23 14:36:41
41,000000000000002496,P000000807,2017-09-23 13:31:35
42,000000000000002612,P000001404,2038-05-24 14:14:23
43,000000000000002614,P000001632,2018-10-01 14:02:41
44,000000000000002624,P000000309,2017-11-02 18:51:10
45,000000000000002652,P000001337,2018-04-04 12:03:52
46,000000000000002743,P000000454,2019-04-25 17:10:09
47,000000000000002743,P000000454,2018-06-19 15:20:34
48,000000000000002746,P000000655,2018-08-21 16:55:15
49,000000000000002768,P000001190,2018-08-05 13:54:34
50,000000000000002779,P000001443,2018-06-13 16:46:19
51,000000000000002882,P000001832,2018-10-18 17:29:44
52,000000000000002964,P000000356,2019-02-22 19:37:36
53,000000000000003022,P000001443,2018-11-11 16:52:35
54,000000000000003030,P000000650,2020-12-22 12:40:06
55,000000000000003038,P000001458,2022-08-02 11:23:42
56,000000000000003070,P000001412,2027-09-30 13:17:34
57,000000000000003096,P000001709,2019-06-16 17:54:44
58,000000000000003163,P000001826,2019-06-06 20:48:31
59,000000000000003199,P000001383,2019-07-29 15:06:47
60,000000000000003199,P000001383,2019-06-02 15:53:44
61,000000000000003214,P000000238,2019-10-02 11:03:08
62,000000000000003310,P000000091,2021-11-24 10:57:11
63,000000000000003425,P000000238,2020-03-07 16:43:38
64,000000000000003425,P000000238,2019-12-30 17:08:07
65,000000000000003452,P000000951,2020-03-25 18:04:07
66,000000000000003491,P000000807,2020-03-26 20:03:33
67,000000000000003510,P000001025,2020-09-24 20:25:38
68,000000000000003521,P000000869,2020-02-23 19:36:32
69,000000000000003765,P000000466,2021-01-20 19:18:14
70,000000000000003795,P000001849,2021-02-26 17:30:59
71,000000000000003809,P000000265,2022-07-27 18:17:03
72,000000000000003842,P000000919,2024-05-28 16:27:23
73,000000000000003854,P000000265,2022-06-18 20:20:28
74,000000000000003868,P000001733,2034-12-06 13:51:17
75,000000000000003962,P000001832,2021-05-05 11:18:42
76,000000000000004043,P000000178,2024-12-05 14:20:52
77,000000000000004094,P000001431,2024-02-17 14:55:54
78,000000000000004094,P000001431,2021-10-31 11:05:38
79,000000000000004108,P000001351,2021-09-23 19:12:57
80,000000000000004228,P000000684,2022-09-01 15:36:10
81,000000000000004260,P000000584,2022-01-29 18:54:01
82,000000000000004371,P000000899,2022-06-05 19:21:17
83,000000000000004405,P000001659,2031-11-08 13:30:34
84,000000000000004405,P000001659,2025-01-25 15:19:08
85,000000000000004412,P000000091,2024-04-16 11:55:12
86,000000000000004527,P000001630,2022-11-04 18:48:16
87,000000000000004528,P000001761,2023-03-14 18:23:06
88,000000000000004531,P000001610,2025-04-25 10:35:47
89,000000000000004564,P000001754,2030-12-12 15:04:18
90,000000000000004564,P000001754,2032-02-22 15:45:55
91,000000000000004614,P000001761,2023-07-09 15:53:52
92,000000000000004717,P000001754,2032-01-31 13:21:12
93,000000000000004810,P000000584,2023-09-24 15:20:28
94,000000000000004814,P000001474,2023-08-13 16:02:19
95,000000000000004874,P000000462,2024-02-11 10:57:18
96,000000000000004877,P000001404,2038-03-12 11:44:41
97,000000000000004884,P000000317,2027-01-03 17:09:27
98,000000000000004912,P000000877,2024-01-08 16:48:58
99,000000000000004925,P000001431,2025-04-17 19:31:55
100,000000000000004982,P000000719,2030-05-25 16:58:31
