1,1280,000000000000000002
2,780,000000000000000003
3,980,000000000000000005
4,1940,000000000000000006
5,470,000000000000000008
6,2400,000000000000000009
7,3680,000000000000000010
8,2510,000000000000000011
9,18000,000000000000000012
10,55320,000000000000000013
11,3340,000000000000000014
12,290,000000000000000016
13,650,000000000000000018
14,360,000000000000000019
15,2840,000000000000000021
16,1310,000000000000000023
17,680,000000000000000025
18,4590,000000000000000026
19,3690,000000000000000031
20,11280,000000000000000034
21,12450,000000000000000039
22,3340,000000000000000040
23,270,000000000000000041
24,27600,000000000000000042
25,2800,000000000000000043
26,13100,000000000000000044
27,3140,000000000000000049
28,290,000000000000000051
29,1630,000000000000000053
30,1350,000000000000000055
31,300,000000000000000056
32,1080,000000000000000058
33,8120,000000000000000060
34,4840,000000000000000061
35,3120,000000000000000063
36,2690,000000000000000064
37,480,000000000000000065
38,16140,000000000000000066
39,1700,000000000000000068
40,53540,000000000000000069
41,3240,000000000000000070
42,2620,000000000000000072
43,2500,000000000000000074
44,1390,000000000000000076
45,2150,000000000000000078
46,270,000000000000000079
47,1180,000000000000000082
48,660,000000000000000084
49,1300,000000000000000085
50,3950,000000000000000086
51,1600,000000000000000087
52,660,000000000000000095
53,1850,000000000000000096
54,25840,000000000000000098
55,350,000000000000000099
56,1620,000000000000000106
57,1180,000000000000000107
58,660,000000000000000109
59,540,000000000000000111
60,1220,000000000000000112
61,130,000000000000000113
62,9600,000000000000000114
63,11070,000000000000000115
64,11900,000000000000000116
65,5940,000000000000000118
66,870,000000000000000119
67,340,000000000000000120
68,3330,000000000000000123
69,830,000000000000000124
70,1140,000000000000000126
71,6260,000000000000000127
72,7700,000000000000000128
73,1780,000000000000000129
74,19600,000000000000000131
75,660,000000000000000132
76,1390,000000000000000134
77,4250,000000000000000135
78,2060,000000000000000136
79,20000,000000000000000139
80,990,000000000000000142
81,5700,000000000000000146
82,6950,000000000000000147
83,1440,000000000000000149
84,1400,000000000000000151
85,10500,000000000000000152
86,960,000000000000000153
87,270,000000000000000154
88,450,000000000000000156
89,33150,000000000000000157
90,1080,000000000000000160
91,11360,000000000000000164
92,2640,000000000000000165
93,3600,000000000000000166
94,540,000000000000000167
95,330,000000000000000168
96,2640,000000000000000169
97,10940,000000000000000170
98,4020,000000000000000172
99,10270,000000000000000173
100,4310,000000000000000175
101,7500,000000000000000176
102,380,000000000000000178
103,4890,000000000000000180
104,960,000000000000000181
105,2700,000000000000000182
106,18600,000000000000000185
107,12030,000000000000000187
108,420,000000000000000188
