000000000000000054,22/2/2011 0:00,4
000000000000000125,10/5/2011 0:00,4
000000000000000192,6/7/2011 0:00,4
000000000000000204,20/7/2011 0:00,4
000000000000000212,31/7/2011 0:00,4
000000000000000216,2/8/2011 0:00,4
000000000000000274,9/10/2011 0:00,4
000000000000000313,21/11/2011 0:00,4
000000000000000316,24/11/2011 0:00,4
000000000000000324,1/12/2011 0:00,4
000000000000000343,13/12/2011 0:00,4
000000000000000356,29/12/2011 0:00,4
000000000000000357,1/1/2012 0:00,4
000000000000000369,10/1/2012 0:00,4
000000000000000376,18/1/2012 0:00,4
000000000000000414,25/2/2012 0:00,4
000000000000000423,8/3/2012 0:00,4
000000000000000496,16/5/2012 0:00,4
000000000000000498,19/5/2012 0:00,4
000000000000000509,29/5/2012 0:00,4
000000000000000515,2/6/2012 0:00,4
000000000000000549,1/7/2012 0:00,4
000000000000000566,15/7/2012 0:00,4
000000000000000567,12/7/2012 0:00,4
000000000000000568,15/7/2012 0:00,4
000000000000000574,21/7/2012 0:00,4
000000000000000627,2/9/2012 0:00,4
000000000000000663,1/10/2012 0:00,4
000000000000000729,30/11/2012 0:00,4
000000000000000737,7/12/2012 0:00,4
000000000000000746,18/12/2012 0:00,4
000000000000000781,25/1/2013 0:00,4
000000000000000806,19/2/2013 0:00,4
000000000000000851,2/4/2013 0:00,4
000000000000000914,14/6/2013 0:00,4
000000000000000920,18/6/2013 0:00,4
000000000000000941,7/7/2013 0:00,4
000000000000000950,15/7/2013 0:00,4
000000000000000959,26/7/2013 0:00,4
000000000000000970,6/8/2013 0:00,4
000000000000001019,14/9/2013 0:00,4
000000000000001048,6/10/2013 0:00,4
000000000000001070,24/10/2013 0:00,4
000000000000001071,27/10/2013 0:00,4
000000000000001102,26/11/2013 0:00,4
000000000000001154,6/1/2014 0:00,4
000000000000001179,28/1/2014 0:00,4
000000000000001180,28/1/2014 0:00,4
000000000000001193,9/2/2014 0:00,4
000000000000001211,8/3/2014 0:00,4
